publish_status,event_id,color,event_name,event_description,event_start_date,event_start_time,event_end_date,event_end_time,evo_tz,time_ext_type,hide_end_time,event_gmap,yearlong,featured,evo_location_id,location_name,event_location,location_description,location_latitude,location_longitude,location_link,location_img,evo_organizer_id,event_organizer,organizer_description,evcal_org_contact,evcal_org_address,evcal_org_exlink,evo_org_img,evcal_subtitle,learnmore link,image_url,repeatevent,frequency,repeats,repeatby,event_type,event_type_slug,event_type_2,event_type_2_slug,
publish,47131,4bb5d8,"Zuperjune and Oat Brothers at Bamboo Bar &amp; Cafe Soi 88","Now we have live music 5 days per weekSun.\, Mon \, Wed\, Thu Zuperjune &amp; Oat Brothers Start 8.30pSat -Zuperjune &amp; Oat Brothers Start 9.30pBamboo Bar &amp; Cafe is a cozy and comfortable bar located up Soi 88 just past the traffic light. Their staff is super friendly and whether you choose to listen music\, play darts or pool or just sit down with a cold beverage and chat Bamboo Bar is an excellent choice for a night out.","12/25/2025","08:30:PM","12/25/2025","11:45:PM","Asia/Bangkok","n",no,no,"no",no,"4004","Bamboo Bar &amp;amp; Cafe",,"Bamboo Bar &amp;amp; Cafe",,,"https://goo.gl/maps/KsvfRu2EPLxtAcoW7","Array","4003","Bamboo Bar &amp;amp; Cafe","Bamboo Bar &amp;amp; Cafe ",,,,"25796","Zuperjune and Oat Brothers at Bamboo Bar &amp; Cafe Soi 88 - Acoustic - Blues - Rock - Ballads - Pop",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/12/Screenshot_20251225_062635_Gallery.jpg,yes,"weekly","652",,"1832,3763,3996,1829,3990,3985,4001,1827,3764,1833,3997,","Thai Pop","4267,","Music/Gigs Calendar",
publish,47018,4bb5d8,"Don Stone Town at Red Bar","Enjoy a cold beverage and listen to the acoustic sounds of Don Stone Town every Friday 9p and Saturday at 8p Located in the heart of the Bintabaht Entertainment District","12/05/2025","09:00:PM","12/05/2025","11:45:PM","Asia/Bangkok","n",no,yes,"no",no,"4031","Red Bar",,"Red Bar",,,"https://goo.gl/maps/z7ZXTtCCgwzWsJUo8","18563","4032","Red Bar","Red Bar",,,,"18563","Don Stone Town @ Red Bar Acousitc - Rock - Pop - R&amp;B - Contemporary Pop",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/12/Screenshot_20251202_161740_Firefox.jpg,yes,"weekly","221",,"1832,3763,3996,3985,1827,3764,","R &amp; B","4267,","Music/Gigs Calendar",
publish,47011,4bb5d8,"Black Martini Band at The Best Bar &amp; Restaurant Soi 94","Stop in and catch Black Martini Band at The Best Bar Soi 94 every Wednesday\, Thursday\, Friday and Saturday night at 8p Located on Soi 94 just west of Wonderland in the heart of the Soi 94 Entertainment District. I","12/03/2025","08:00:PM","12/03/2025","11:45:PM","Asia/Bangkok","n",no,no,,no,"19138","The Best Bar &amp;amp; Restaurant",,"",,,"https://maps.app.goo.gl/yDCabYPgR79ckF4n9","Array",,,,,,,,"Black Martini Band at The Best Bar &amp; Restaurant Soi 94 - Rock - Blues Rock - Pop",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/12/Messenger_creation_AE0CECA7-C514-4F74-8424-DF59A1C855C7.jpeg,yes,"weekly","801",,"3990,1827,3765,","Rock &amp; Roll","4267,","Music/Gigs Calendar",
publish,46901,4bb5d8,"DJ Ben G. at Thaiger Lily Bar &amp; Restaurant Soi Bintabaht","DJ Ben.G back here again Sat 6 Dec at Thaiger Lily .. The night gets better when DJ Ben.G is on the decks Smooth mixes\, high energy &amp; a dance floor that never slows down This is how Saturday night in Hua Hin should feel so come and join us. For reservations please contact\ 062-686-4442 or DM us here &gt;&gt; m.me/107872137261494 Thaiger Lily Hua Hin : Binthabat Road\, Hua Hin in the Heart of the Binthabaht Entertainment District Google Map: https://share.google/hsjD0rGl3EMuQD1f1 Open 7 Nights a week - 4p until 2a","12/06/2025","09:00:PM","12/06/2025","11:45:PM","Asia/Bangkok","n",no,no,,no,"18484","Thaiger Lily - Bar &amp;amp; Restaurant",,"",,,"https://maps.app.goo.gl/QUoK3yFCXJYTu2nD6","Array",,,,,,,,"DJ Ben G. at Thaiger Lily Bar &amp; Restaurant Soi Bintabaht",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/11/zuZRVvpV.jpg,yes,"daily","711",,"4288,3985,2686,4000,1827,4027,","Retro Disco","4267,","Music/Gigs Calendar",
draft,46831,4bb5d8,"DJ Meta V at Macarena 94 Tapas Bar","Sit back and relax in the chill atmosphere of Macarena 94 Tapas Bar and listen to DJ Meta V spinning Latin Rhythms every Wednesday 8p - 11p Macarena 94 Tapas Bar is located on Soi 94 West","12/03/2025","08:00:PM","12/03/2025","11:00:PM","Asia/Bangkok","n",no,no,,no,"18935","Macarena 94 Tapas Bar",,"",,,"https://maps.app.goo.gl/9MaDxYe58kyi5BGq9","Array",,,,,,,,"DJ Meta V at Macarena 94 Tapas Bar - Latin Music ",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/06/1754016531293.jpg,yes,"weekly","521",,"1832,1829,3990,5622,1827,","Music Event","4267,","Music/Gigs Calendar",
publish,46631,4bb5d8,"Tham &amp; Tor's Birthday Party at Rock Zone Bar &amp; Live Music","Get ready for Monday November 24 the Birthday Bash for Tham &amp; Tor!! 4 bands!!! 7pYou'll definitely see them! This talented rock band from Bangkok is guaranteed to rock with Black Cyanide live at RockZone. Free Buffet!!! See you there! The Line up:Friends Band 7pYoung Spirit 8:15pThe Answer 9:30pBlack Cyanide 10:45p Rock Zone features the finest in rock\, metal\, blues and modern rock music. Open 7 days a week 6p till Midnight Located on Soi Railway West between Soi 94 and Soi 88","11/24/2025","07:00:PM","11/24/2025","11:45:PM","Asia/Bangkok","n",no,yes,"no",no,"3937","Rock Zone Bar &amp;amp; Live Music","West Railroad Mae Kep","West Railroad 100 meters north of Soi 94","12.3449","99.57000","https://goo.gl/maps/EX6tyP3SZrsJWDqa7","22525","4249","Rock Zone Bar and Live Music","",,,,"17734","Black Cyanide &amp; Friends Band, Young Spirit Band , The Answer @ Rock Zone Bar &amp; Live Music - Rock - Contemporary Rock - Indie Rock - Hard Rock",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/11/Messenger_creation_CE2F8364-4AC5-46F6-A131-7D0294F123CA.jpeg,no,"weekly","221",,"3991,4318,1827,3988,3765,","Rock &amp; Roll","4267,","Music/Gigs Calendar",
publish,43223,4bb5d8,"Blue Velvet Trio at Home Garden Restaurant","Enjoy the Country\, Folk and Bluegrass musical styling of the Blue Velvet Trio Wednesday 5 November. The music starts at 7:30p Home Garden Restaurant is located on Soi 102","11/05/2025","07:30:PM","11/05/2025","11:00:PM","Asia/Bangkok","n",no,no,,no,"10657","Home Garden Restaurant",,"",,,"https://maps.app.goo.gl/yxL2oXLvbW2kbKVp6","Array",,,,,,,,"Blue Velvet Duo at Home Garden Restaurant",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/06/received_2127780247749827.jpeg,no,"weekly","211",,"1832,4577,4001,1835,1827,","Music Event","4267,","Music/Gigs Calendar",
publish,46506,4bb5d8,"Ped Bluesman &amp; the Blues Cats at Woodstock Hua Hin","Sit back\, relax and enjoy the mellow acoustic blues and R&amp;B of Ped Bluesman &amp; the Bluees Cats appearing every Saturday night at 9:30p Woodstock open 7 days a week 4p - Midnight Reserve your table : inbox direct message or calling 087-696-3293","11/01/2025","09:30:PM","11/01/2025","11:45:PM","Asia/Bangkok","n",no,no,"no",no,"3761","Woodstock Hua Hin","Hua Hin 88 ,","",,,"https://maps.app.goo.gl/iEVg6m9F3baNjMe58","22499","3762","Woodstock Hua Hin","Woodstock Hua Hin",,"Hua Hin 88 , Hua Hin, Thailand, Prachuap Khiri Khan",,"22499","Ped Bluesman and the Blues Cats @ Woodstock Hua Hin",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/10/FB_IMG_1761546677912.jpg,yes,"weekly","218",,"1832,1829,1827,","Music Event","4267,","Music/Gigs Calendar",
publish,46457,4bb5d8,"DJ Nekey at Molly's Bar","Catch DJ Nekey every Friday and Saturday Night 9p. Molly's Bar is located on Soi 94 just a few meters west of Wonderland 1.","10/24/2025","09:00:PM","10/24/2025","11:45:PM","Asia/Bangkok","n",no,no,,no,"18542","Molly&amp;#039;s Bar Soi 94",,"",,,"https://maps.app.goo.gl/R6Bjyq4VPadXPifM8","Array",,,,,,,,"DJ Nekey at Molly&#039;s Bar - House - Retro Disco - Dance",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/10/Messenger_creation_2A5B03C1-2F09-4B2B-ABBC-0CC1469BB096.jpeg,yes,"weekly","311",,"2686,4000,1827,4027,4030,","Techno","4267,","Music/Gigs Calendar",
publish,46436,4bb5d8,"Neung, Nop &amp; Mike at La Birra Bistro Beer &amp; Wine Bar","Every Thursday relax and enjoy a cold beverage while you listen to Boss acoustic followed by the Funk\, Soul and R&amp;B music of Neung\, Nop &amp; Mike at 10p La Birra features 100 beers plus premium wines for the new bistro beer and wine bar...a wonderful covered outdoor atmosphere lets you enjoy the music or you meal. Located on Soi Khao Takiab [opposite Cicada Market] - Open 3 days a week 5p until midnight Closed on Monday","07/31/2025","07:30:PM","07/31/2025","11:45:PM","Asia/Bangkok","n",no,no,,no,"6582","La Birra Bistro Beer &amp;amp; Wine Bar",,"La Birra Bistro Beer &amp;amp; Wine Bar",,,"https://maps.app.goo.gl/wLyGLWgKGSNSnCti9","Array","6583","La Birra Bistro Beer &amp;amp; Wine Bar","La Birra Bistro Beer &amp;amp; Wine Bar",,,,"24230","Neung, Nop &amp; Mike at La Birra Bistro Beer &amp; Wine Bar",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/10/20251023_092439-scaled.jpg,yes,"weekly","221",,"1832,3763,3996,3990,4555,1827,3764,4252,","Soul Music","4267,","Music/Gigs Calendar",
